Cement _component_1,Blast Furnace Slag _component_2,Fly Ash _component_3,Water_component_4,Superplasticizer_component_5,Coarse Aggregate_component_6,Fine Aggregate_component_7,Age_day,Concrete_compressive _strength
6.293419278846481,0.0,0.0,5.093750200806762,1.252762968495368,6.962243464266207,6.517671272912275,3.367295829986474,4.141387168555412
5.58724865840025,4.74493212836325,0.0,5.43372200355424,0.0,6.838405200847344,6.508769136971682,4.51085950651685,3.871825815676733
5.942799375126701,4.564348191467836,0.0,5.43372200355424,0.0,6.838405200847344,6.38856140554563,3.367295829986474,3.6230067099632284
5.58724865840025,4.74493212836325,0.0,5.43372200355424,0.0,6.838405200847344,6.508769136971682,3.367295829986474,3.846951008684431
6.16541785423142,0.0,0.0,5.43372200355424,0.0,6.838405200847344,6.38856140554563,3.367295829986474,3.696103299203256
5.296315363877364,4.893352133481524,0.0,5.262690188904886,0.0,6.886940139268217,6.717199917261079,4.51085950651685,3.6653549090669792
5.296315363877364,4.893352133481524,0.0,5.262690188904886,0.0,6.886940139268217,6.717199917261079,3.367295829986474,3.367985247456042
5.25227342804663,5.25227342804663,0.0,5.43372200355424,0.0,6.838405200847344,6.508769136971682,4.51085950651685,3.768845235751818
5.720311776607412,4.343805421853684,0.0,5.43372200355424,0.0,6.838405200847344,6.508769136971682,3.367295829986474,3.887935209899056
5.942799375126701,0.0,0.0,5.43372200355424,0.0,6.838405200847344,6.508769136971682,4.51085950651685,3.9873159894635775
4.9459189793765646,5.349010480863555,0.0,5.262690188904886,0.0,6.954638864880987,6.694438288485663,4.51085950651685,3.6978391954854084
5.942799375126701,4.564348191467836,0.0,5.43372200355424,0.0,6.838405200847344,6.38856140554563,4.51085950651685,3.727138166231027
4.9459189793765646,5.349010480863555,0.0,5.262690188904886,0.0,6.954638864880987,6.694438288485663,3.367295829986474,3.3755376348815775
4.9459189793765646,5.349010480863555,0.0,5.262690188904886,0.0,6.954638864880987,6.694438288485663,1.3862943611198906,2.203869120054888
6.060290738037835,3.8815637979434374,0.0,5.43372200355424,0.0,6.838405200847344,6.38856140554563,3.367295829986474,3.6488384045767526
